,,,,,,,,,,
,"Catàleg Tipus de documents",,,,,,,,,
,,,,,,,,,,
,"Data d'alta","Data baixa","Codi tipus document","Nom tipus document","Agrupador","Servei de publicació","Estructura XML","Diagnòstic obligatori","Validació CIP","Data activació validació CIP"
,01/05/2017,,170599006,"M.A.P.A. Monitoratge PA 24 hores","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,233545006,"Histeroscòpia","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,235153008,"Sigmoidoscòpia rígida","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,239332003,"Prova percutània per al.lèrgia","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,250980009,"Cardioversió","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,251642003,"Camps magn.evocats audit. tronc encefàlic","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252233000,"Prova d'hidrogen espirat","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252417001,"Holter cardíac","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,252464001,"Capilaroscòpia","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252465000,"Pulsioximetria","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252476001,"Prova d'esforç progressiu","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,252478000,"Prova de la marxa de 6 minuts","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252520007,"Prova provocació - metacolina","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252553002,"Rinomanometria","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252557001,"Rinometria acústica","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252572002,"Estroboscòpia laríngia","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,252577008,"Audiometria tonal","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252636004,"Manometria d'esfínter anal","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252652001,"PH-metria determinació reflux","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252728003,"EEG amb privació de son","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252777006,"Audiometria de resp. elèctrica","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252779009,"Electroretinografia estimulació llum blanca","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252784003,"Electroretinografia amb estímuls freqüents","Proves complementàries","Documents",1,"No","No",
,01/05/2017,,252829002,"Microscòpia especular corneal","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,252830007,"Topografia corneal","Proves complementàries","Documents / Imatge",2,"No","No",
,01/05/2017,,252847008,"Prova ortòptica","Proves complementàries","Documents",1,"No","No",
